لجان القيد,,قلم الأقتراع,عدد المقترعين,عدد الأوراق الباطلة,عدد الأوراق البيضاء,العدد المعول عليه مع الأوراق البيضاء,(1) الشراكة والارادة,,,,,,,,,(2) صوتك ثورة,,,,,,,,(3) لائحة الجبل,,,,,,,,(4) قادرين,,,,,(5) توحدنا للتغيير,,,,,,,,(6) سيادة وطن,,,,,,,(7) الجبل ينتفض,,,,
,,,,,,,فادي فارس المعلوف,ايلي مخايل قرداحي,حبوبه يوسف عون,سعد الدين وسيم الخطيب,بلال احمد عبد الله,مروان محمد حماده,جورج جميل عدوان,تيمور وليد جنبلاط,مجموع الأصوات,معضاد حسن ابو علي,ميشال خليل ابو سليمان,جمال انطوان مرهج,جهاد نبيل ذبيان,كابي الياس القزي,سمير حسن عاكوم,محمد سامي الحجار,مجموع الأصوات,انطوان بشاره عبود,اسامه محمد المعوش,احمد حلمي نجم الدين,فريد جورج فيليب البستاني,غسان امال عطا الله,وئام ماهر نجيب وهاب,ناجي نبيه البستاني,مجموع الأصوات,عماد محمد الفران,خالد ابراهيم سعد,ايمن غازي زين الدين,جوزف اسعد طعمه,مجموع الأصوات,شكري يوسف حداد,عماد وفيق سيف الدين,حليمه ابراهيم القعقور,صعود كريم ابو شبل,رانيه عادل غيث,نجاة خطار عون,غاده غازي ماروني عيد,مجموع الأصوات,جورج ادوار سلوان,هشام عزات ذبيان,مأمون احمد المأمون ملك,جويس جوزف مارون,محمد عمار ابراهيم الشمعه,دعد ناصيف القزي,مجموع الأصوات,اكرم علي بريش,عبد الله يوسف ابو عبد الله,نبيل خليل مشنتف,زينه شوقي منصور,مجموع الأصوات
محضر لجنة القيد االبتدائية الأولى في دائرة جبل لبنان 4 - الشوف,1,البرجين - مدرسة البرجين الرسمية - غرفة رقم 1,288,3,6,285,1,1,0,34,92,12,2,2,147,0,0,0,0,0,5,0,6,0,1,4,14,1,32,3,55,0,3,0,0,4,0,11,29,0,0,2,5,49,0,0,0,0,13,2,15,0,3,0,0,3
محضر لجنة القيد االبتدائية الأولى في دائرة جبل لبنان 4 - الشوف,2,البرجين - مدرسة البرجين الرسمية - غرفة رقم 2,343,14,10,329,2,1,0,32,91,15,0,2,149,0,0,0,0,1,5,0,8,0,2,5,11,4,35,1,61,0,6,0,0,6,0,17,36,0,0,8,7,70,0,0,0,0,19,2,21,0,4,0,0,4
محضر لجنة القيد االبتدائية الأولى في دائرة جبل لبنان 4 - الشوف,3,البرجين - مدرسة البرجين الرسمية - غرفة رقم 3,215,7,2,208,7,1,1,1,3,2,57,2,76,0,1,0,0,0,0,0,2,0,0,0,44,17,1,1,65,0,0,0,1,1,0,0,1,2,1,32,19,57,0,0,0,0,0,2,3,0,0,2,0,2
محضر لجنة القيد االبتدائية الأولى في دائرة جبل لبنان 4 - الشوف,4,الخريبه - المدرسة الرسمية - غرفة رقم 1,291,7,1,284,0,0,1,0,0,4,0,172,183,0,0,0,0,0,0,0,1,0,0,0,0,0,29,1,30,0,0,0,0,0,0,15,15,0,11,8,18,69,0,0,0,0,0,0,0,0,0,0,0,0
محضر لجنة القيد االبتدائية الأولى في دائرة جبل لبنان 4 - الشوف,5,الخريبه - المدرسة الرسمية - غرفة رقم 2,246,7,2,239,1,0,0,0,0,4,8,120,139,0,0,0,0,0,0,0,0,0,0,0,18,8,25,2,53,0,0,11,0,11,0,6,7,1,7,9,4,34,0,0,0,0,0,0,0,0,0,0,0,0
محضر لجنة القيد االبتدائية الأولى في دائرة جبل لبنان 4 - الشوف,6,الخريبه - المدرسة الرسمية - غرفة رقم 3,340,2,6,338,0,0,3,0,0,12,0,192,213,0,0,0,0,0,0,0,1,0,0,0,0,0,19,0,20,0,0,0,0,2,2,10,16,0,15,26,25,96,0,0,0,0,0,0,0,0,0,0,0,0
محضر لجنة القيد االبتدائية الأولى في دائرة جبل لبنان 4 - الشوف,7,الخريبه - المدرسة الرسمية - غرفة رقم 4,293,9,2,284,3,0,0,0,0,1,8,146,162,0,0,0,0,0,0,0,0,0,0,0,15,14,21,2,55,0,0,9,0,9,0,8,10,2,9,16,7,56,0,0,0,0,0,0,0,0,0,0,0,0
محضر لجنة القيد االبتدائية الأولى في دائرة جبل لبنان 4 - الشوف,8,الدبية - المدرسة الرسمية سابقا الجامعة اللبنانية كلية العلوم الفرع الاول شعبة اقليم الخروب - غرفة رقم 1   ,275,7,4,268,5,4,1,0,6,0,76,0,97,0,1,0,0,0,0,0,1,0,0,0,40,24,10,20,95,0,2,0,0,2,0,0,6,4,0,42,13,66,0,0,0,1,0,2,3,0,0,0,0,0
محضر لجنة القيد االبتدائية الأولى في دائرة جبل لبنان 4 - الشوف,9,الدبية - المدرسة الرسمية سابقا الجامعة اللبنانية كلية العلوم الفرع الاول شعبة اقليم الخروب - غرفة رقم 2   ,270,6,0,264,2,3,0,0,7,0,59,0,73,0,0,0,0,0,0,0,2,0,0,0,31,27,10,10,80,1,0,0,0,1,1,0,12,5,0,61,22,101,0,0,0,1,0,6,7,0,0,0,0,0
محضر لجنة القيد االبتدائية الأولى في دائرة جبل لبنان 4 - الشوف,10,الدبية - المدرسة الرسمية سابقا الجامعة اللبنانية كلية العلوم الفرع الاول شعبة اقليم الخروب - غرفة رقم 3   ,192,2,1,190,9,7,0,0,1,1,46,0,65,0,0,0,0,0,0,1,1,0,0,0,26,31,2,3,67,0,0,0,0,0,0,0,4,2,0,42,5,54,0,0,0,0,0,1,1,0,0,0,1,1
محضر لجنة القيد االبتدائية الأولى في دائرة جبل لبنان 4 - الشوف,11,الكنيسة - كنيسة البلدة - غرفة رقم 1,302,2,1,300,6,3,0,0,0,0,151,0,164,0,0,0,0,0,0,0,0,0,0,0,21,58,1,2,84,0,1,2,0,3,1,0,3,0,1,38,4,48,0,0,0,0,0,0,0,0,0,0,0,0
محضر لجنة القيد االبتدائية الأولى في دائرة جبل لبنان 4 - الشوف,12,المشرف - مبنى البلدية الجديد في المشرف - غرفة رقم 1,242,7,0,235,5,7,74,0,0,0,11,0,97,0,0,0,0,2,0,0,2,0,0,0,19,44,2,8,73,0,0,2,0,3,0,1,7,1,0,48,0,60,0,0,0,0,0,0,0,0,0,0,0,0
محضر لجنة القيد االبتدائية الأولى في دائرة جبل لبنان 4 - الشوف,13,المعنيه - صالة الكنيسة - غرفة رقم 1,171,12,0,159,0,1,0,0,5,1,65,1,74,0,0,0,0,2,0,0,2,0,0,0,27,10,1,3,41,0,0,0,0,0,0,0,4,3,0,27,4,39,0,0,0,0,0,2,2,0,0,1,0,1
محضر لجنة القيد االبتدائية الأولى في دائرة جبل لبنان 4 - الشوف,14,خربة بسري - كنيسة مار شربل - غرفة رقم 1,32,0,0,32,0,0,0,0,3,0,10,0,13,0,0,0,0,0,0,0,0,0,0,0,6,2,5,0,13,0,0,0,0,0,1,0,0,0,0,5,0,6,0,0,0,0,0,0,0,0,0,0,0,0
محضر لجنة القيد االبتدائية الأولى في دائرة جبل لبنان 4 - الشوف,15,شحيم حي البدوي - مجمع مدارس جبل سويد - غرفة رقم 7,358,4,1,354,0,0,0,1,142,7,0,0,152,0,0,0,0,0,0,36,36,0,1,9,3,5,37,0,59,1,0,0,0,1,0,5,17,0,0,6,0,30,0,0,2,0,70,1,74,0,1,0,0,1
محضر لجنة القيد االبتدائية الأولى في دائرة جبل لبنان 4 - الشوف,16,شحيم حي البيادر - معهد شحيم الفني - غرفة رقم 1,274,15,5,259,0,7,0,4,60,1,1,0,74,0,0,0,0,0,0,31,32,0,0,10,6,2,52,3,74,0,1,0,0,1,1,0,26,0,0,3,3,33,0,1,0,0,31,1,34,0,4,0,0,6
محضر لجنة القيد االبتدائية الأولى في دائرة جبل لبنان 4 - الشوف,17,شحيم حي البيادر - معهد شحيم الفني - غرفة رقم 2,331,21,6,310,0,4,0,0,75,1,1,0,86,0,0,0,1,0,1,25,28,0,0,22,12,0,53,0,88,0,0,0,0,0,1,3,33,0,0,4,4,45,0,0,0,0,55,1,56,0,1,0,0,1
محضر لجنة القيد االبتدائية الأولى في دائرة جبل لبنان 4 - الشوف,18,شحيم حي الجامع - مجمع المدارس جبل سويد - غرفة رقم 1,346,11,5,335,0,0,2,11,101,10,2,0,126,0,0,0,0,0,0,11,11,0,0,26,16,1,38,2,86,0,1,0,0,1,0,2,28,0,0,6,2,41,0,0,0,1,62,2,65,0,0,0,0,0
محضر لجنة القيد االبتدائية الأولى في دائرة جبل لبنان 4 - الشوف,19,شحيم حي الجامع - مجمع المدارس جبل سويد - غرفة رقم 2,311,16,0,295,0,2,2,10,94,5,2,0,117,0,0,0,0,0,0,10,11,0,0,30,5,1,42,7,87,0,3,0,0,3,0,0,30,0,0,4,3,37,0,0,0,0,39,0,39,0,0,0,0,1
محضر لجنة القيد االبتدائية الأولى في دائرة جبل لبنان 4 - الشوف,20,شحيم حي الجامع - مجمع المدارس جبل سويد - غرفة رقم 3,240,7,3,233,0,0,0,6,88,5,1,0,103,0,0,0,0,0,0,7,8,0,0,7,19,1,37,1,67,0,0,0,0,0,0,3,13,0,0,9,0,25,0,0,0,0,27,0,27,0,0,0,0,0
محضر لجنة القيد االبتدائية الأولى في دائرة جبل لبنان 4 - الشوف,21,شحيم حي الجامع - مجمع المدارس جبل سويد - غرفة رقم 4,405,11,11,394,0,1,6,12,89,9,1,0,122,0,1,0,0,0,1,17,20,0,1,30,25,0,43,3,107,0,1,0,0,1,0,7,25,0,0,5,4,43,0,0,0,0,88,0,89,0,0,0,0,1
محضر لجنة القيد االبتدائية الأولى في دائرة جبل لبنان 4 - الشوف,22,شحيم حي الجامع - مجمع المدارس جبل سويد - غرفة رقم 5,387,10,8,377,0,0,0,7,119,4,1,0,135,0,0,0,0,0,0,12,13,1,0,20,11,4,55,6,98,0,2,0,0,2,0,2,46,0,0,12,3,63,0,0,0,0,56,0,57,0,1,0,0,1
محضر لجنة القيد االبتدائية الأولى في دائرة جبل لبنان 4 - الشوف,23,شحيم حي الجامع - مجمع المدارس جبل سويد - غرفة رقم 6,372,21,5,351,0,0,0,7,112,3,1,1,125,0,0,0,0,0,0,12,12,0,0,9,26,1,54,1,96,0,0,0,0,0,0,3,30,3,0,13,1,53,0,0,0,0,54,0,58,0,0,0,0,2
