الدائرة,القضاء,القرية,رقم قلم الاقتراع,مركز قلم الاقتراع,الجنس,الطائفة,من سجل,الى سجل
البقاع ٢,البقاع الغربي,الخياره,1,مدرسة الخيارة الرسمية غرفة رقم ١,ذكور,روم ارثوذكس,2,2
البقاع ٢,البقاع الغربي,الخياره,1,مدرسة الخيارة الرسمية غرفة رقم ١,ذكور,سني,1,114
البقاع ٢,البقاع الغربي,الخياره,2,مدرسة الخيارة الرسمية غرفة رقم ٢,اناث,روم ارثوذكس,2,2
البقاع ٢,البقاع الغربي,الخياره,2,مدرسة الخيارة الرسمية غرفة رقم ٢,اناث,سني,1,114
البقاع ٢,البقاع الغربي,الدكوه,3,المدرسة سابقا قرب كنيسة مار جرجس غرفة رقم ١,ذكور,ارمن ارثوذكس,1,2
البقاع ٢,البقاع الغربي,الدكوه,3,المدرسة سابقا قرب كنيسة مار جرجس غرفة رقم ١,ذكور,روم ارثوذكس,1,4
البقاع ٢,البقاع الغربي,الدكوه,3,المدرسة سابقا قرب كنيسة مار جرجس غرفة رقم ١,ذكور,روم كاثوليك,1,26
البقاع ٢,البقاع الغربي,الدكوه,3,المدرسة سابقا قرب كنيسة مار جرجس غرفة رقم ١,ذكور,سريان كاثوليك,1,2
البقاع ٢,البقاع الغربي,الدكوه,3,المدرسة سابقا قرب كنيسة مار جرجس غرفة رقم ١,ذكور,سني,1,72
البقاع ٢,البقاع الغربي,الدكوه,3,المدرسة سابقا قرب كنيسة مار جرجس غرفة رقم ١,ذكور,شيعي,1,1
البقاع ٢,البقاع الغربي,الدكوه,3,المدرسة سابقا قرب كنيسة مار جرجس غرفة رقم ١,ذكور,ماروني,1,3
البقاع ٢,البقاع الغربي,الدكوه,4,المدرسة سابقا قرب كنيسة مار جرجس غرفة رقم ٢,اناث,ارمن ارثوذكس,1,2
البقاع ٢,البقاع الغربي,الدكوه,4,المدرسة سابقا قرب كنيسة مار جرجس غرفة رقم ٢,اناث,روم ارثوذكس,1,4
البقاع ٢,البقاع الغربي,الدكوه,4,المدرسة سابقا قرب كنيسة مار جرجس غرفة رقم ٢,اناث,روم كاثوليك,1,26
البقاع ٢,البقاع الغربي,الدكوه,4,المدرسة سابقا قرب كنيسة مار جرجس غرفة رقم ٢,اناث,سريان كاثوليك,1,2
البقاع ٢,البقاع الغربي,الدكوه,4,المدرسة سابقا قرب كنيسة مار جرجس غرفة رقم ٢,اناث,سني,1,72
البقاع ٢,البقاع الغربي,الدكوه,4,المدرسة سابقا قرب كنيسة مار جرجس غرفة رقم ٢,اناث,شيعي,1,1
البقاع ٢,البقاع الغربي,الدكوه,4,المدرسة سابقا قرب كنيسة مار جرجس غرفة رقم ٢,اناث,ماروني,1,3
البقاع ٢,البقاع الغربي,الروضة,5,المدرسة الرسمية الاولى غرفة رقم ١,ذكور,سني,1,60
البقاع ٢,البقاع الغربي,الروضة,6,المدرسة الرسمية الاولى غرفة رقم ٢,اناث,سني,1,38
البقاع ٢,البقاع الغربي,الروضة,7,المدرسة الرسمية الاولى غرفة رقم ٣,ذكور,سني,61,149
البقاع ٢,البقاع الغربي,الروضة,7,المدرسة الرسمية الاولى غرفة رقم ٣,اناث,ماروني,1,4
البقاع ٢,البقاع الغربي,الروضة,7,المدرسة الرسمية الاولى غرفة رقم ٣,ذكور,ماروني,1,4
البقاع ٢,البقاع الغربي,الروضة,8,المدرسة الرسمية الاولى غرفة رقم ٤,اناث,سني,40,149
البقاع ٢,البقاع الغربي,السلطان يعقوب التحتا,9,المدرسة الرسمية غرفة رقم ١,ذكور,سني,1,57
البقاع ٢,البقاع الغربي,السلطان يعقوب التحتا,10,المدرسة الرسمية غرفة رقم ٢,اناث,سني,1,72
البقاع ٢,البقاع الغربي,السلطان يعقوب التحتا,11,المدرسة الرسمية غرفة رقم ٣,اناث,سني,74,121
البقاع ٢,البقاع الغربي,السلطان يعقوب التحتا,11,المدرسة الرسمية غرفة رقم ٣,ذكور,سني,58,121
